day,hour,seat_loc,성별,나이,행동,복장,이어폰여부,내리는역,좌석위치,연령대,count
2017-08-22,08:20,1,남자,40,핸드폰보기,정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-22,08:20,2,여자,20,잠자는중,평상복,이어폰:X,강남역,중앙,청년,1
2017-08-22,08:20,3,여자,50,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-22,08:20,4,남자,50,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-22,08:20,5,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,우측:사이드,청년,1
2017-08-22,08:20,6,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-16,07:35,0,여자,40,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-16,07:35,1,남자,30,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-16,07:35,2,여자,50,책읽기,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-16,07:35,3,남자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-16,07:35,4,남자,60,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-16,07:35,5,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-08-16,07:35,6,여자,30,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-08-11,07:12,0,남자,30,책읽기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-11,07:12,1,남자,40,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-11,07:12,2,남자,40,핸드폰보기,정장,이어폰:X,강남역,중앙,중년,1
2017-08-11,07:12,3,여자,30,생각중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-08-11,07:12,4,남자,30,생각중,정장,이어폰:X,강남역,중앙,중년,1
2017-08-11,07:12,5,여자,30,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-08-11,07:12,6,여자,30,잠자는중,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-08-08,07:48,0,남자,40,핸드폰보기,정장,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-08,07:48,1,남자,40,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
